Gender,Age,Education,Occupation,State,Relationship_Status,Obligation_Rating,Obligation_Category,NEP,Vacation_Behaviour,Rest_and_relax,Luxury_be spoilt,Do_sports,excitement_a_challenge,Not_exceed_planned_budget,Realise_creativity,Fun_and_entertainment,Good_company,Health_and_beauty,Free_and_easy_going,Entertainment_facilities,Not_care_about_prices,Life_style_of_the_local_people,Intense_Experience_of_Nature,Cosiness_or_Familiar_Atmosphere,Maintain_Unspoilt_Surroundings,Everything_Organised,Unspoilt_Nature_or_Natural_Landscape,Cultural_Offers,Change_of_Surroundings,Income_Doller_k,Expenditure_Doller_k
Female,25,6,Clerical or service worker,VIC,single,4.800,Q4,3.200,2.067,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,15,39
Female,31,8,professional,WA,married,3.300,Q1,3.400,2.000,yes,yes,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,15,81
Male,21,3,,NSW,single,3.400,Q2,3.067,1.233,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,yes,no,16,6
Female,18,2,unemployed,NSW,single,2.633,Q1,3.400,2.167,yes,yes,no,no,yes,no,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,yes,16,77
Male,61,3,retired,WA,married,3.400,Q2,3.733,1.724,yes,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,17,40
Female,63,7,retired,QLD,married,4.400,Q4,4.267,3.300,yes,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,17,76
Male,58,2,retired,Tas,separated or divorced,3.433,Q2,3.267,3.667,yes,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,yes,18,6
Male,41,8,manager or administrator,VIC,living with a partner,4.267,Q4,4.267,3.235,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes,yes,no,no,yes,no,yes,yes,yes,18,94
Female,36,8,manager or administrator,NSW,separated or divorced,3.700,Q2,2.933,2.741,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,yes,no,no,yes,19,3
Female,56,2,retired,NSW,married,4.167,Q3,3.600,2.750,yes,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,19,72
Male,30,8,professional,VIC,living with a partner,4.133,Q3,3.600,2.933,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,19,14
Male,40,6,manager or administrator,NSW,living with a partner,4.333,Q4,3.933,3.172,yes,no,no,no,no,no,yes,yes,no,no,no,yes,yes,no,no,yes,no,no,no,yes,19,99
Female,75,4,retired,SA,widowed,4.067,Q3,4.067,3.467,yes,yes,no,no,yes,no,no,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,20,15
Female,50,7,unemployed,NSW,separated or divorced,4.667,Q4,4.200,3.714,yes,yes,no,no,yes,no,no,no,no,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,20,77
Male,62,3,sales,WA,married,4.133,Q3,3.933,3.074,yes,yes,no,yes,yes,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,yes,yes,20,13
Male,33,3,professional,WA,separated or divorced,3.633,Q2,4.133,2.000,yes,no,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,20,79
Female,55,1,sales,VIC,married,3.300,Q1,4.133,3.500,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,yes,no,yes,no,no,no,no,no,21,35
Male,51,8,professional,NSW,single,3.933,Q3,4.200,3.462,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,21,66
Male,69,7,professional,VIC,married,4.067,Q3,3.667,2.593,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,yes,no,23,29
Male,23,6,unemployed,QLD,single,3.867,Q3,3.133,3.733,no,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,yes,no,no,23,98
Male,42,6,tradesperson,NSW,married,3.633,Q2,3.600,1.967,yes,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,24,35
